zcta,year,merge_key,number_of_households,household_median_income_1yr,household_mean_income_1yr,number_of_rent_home,median_rent,number_of_owned_home,median_home_value,population_25_and_over,less_than_9th_grade,9th_to_12th_grade,high_school_graduate,some_college_no_degree,associates_degree,bachelors_degree,graduate_or_professional_degree,total_population,pct_children_teens_5-19,pct_young_adults_20-34,pct_middle_aged_35-59,pct_older_adults_60+,housing_units,pct_1_person,pct_2_person,pct_3_person,pct_4_or_more_person
10177,2023,2023_10177,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10199,2023,2023_10199,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10271,2023,2023_10271,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10278,2023,2023_10278,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10279,2023,2023_10279,62,250001,1210208,62,3501,0,-666666666,129,0.0,0.0,0.0,0.0,16.27906976744186,61.240310077519375,22.48062015503876,181,0.0,0.0,49.723756906077355,21.54696132596685,62,0.0,54.83870967741935,0.0,45.16129032258064
10280,2023,2023_10280,4222,206250,343601,2854,3501,1368,893800,7065,0.4246284501061571,0.0,4.699221514508139,4.203821656050955,1.075725406935598,42.87331917905166,46.72328379334749,8668,9.298569450853716,14.813105676049837,48.027226580526076,23.973234886940467,4222,37.13879677877783,36.167693036475605,17.24301279014685,9.450497394599717
10282,2023,2023_10282,2584,250001,468406,2290,3501,280,2000001,4258,0.3522780648191639,0.3992484734617191,6.599342414279004,4.3212775951150775,6.317519962423673,32.24518553311414,49.76514795678722,5960,21.392617449664428,6.308724832214764,47.197986577181204,16.20805369127517,2584,30.572755417956653,36.72600619195047,21.86532507739938,10.8359133126935
10301,2023,2023_10301,14430,84937,116032,7650,1697,6435,657000,27600,5.771739130434782,6.572463768115942,24.768115942028984,17.641304347826086,7.0144927536231885,18.894927536231883,19.33695652173913,39799,17.045654413427474,14.334531018367295,33.626473026960475,26.513228975602402,14430,30.810810810810814,26.74982674982675,17.761607761607763,24.677754677754677
10302,2023,2023_10302,6159,76089,96783,2615,1800,3493,586300,12959,8.742958561617408,6.096149394243383,34.96411760166679,12.554981094220231,8.73524191681457,17.61710008488309,11.289451346554518,19693,20.682476006702892,14.360432641039964,34.68237444777332,22.510536738942772,6159,23.9162201656113,23.559019321318395,13.476213671050497,39.04854684201981
10303,2023,2023_10303,8742,79429,100468,3186,1520,5448,457600,17467,6.830022327818172,9.721188526936508,30.4288086105227,14.427205587679628,8.988378084387701,19.70000572508158,9.904391137573713,25993,22.517600892547993,13.934520832531836,31.250721348055244,26.391720847920595,8742,23.118279569892472,27.934111187371315,18.256691832532603,30.690917410203618
10304,2023,2023_10304,15900,71506,107989,7904,1516,7856,659900,31617,7.473827371350855,8.846506626182117,31.245848752253536,15.311383116677735,5.7152797545624185,19.39462947148686,12.012524907486478,45843,19.46862116353642,12.824204349628078,34.247322382915605,26.837248871147178,15900,26.69811320754717,28.729559748427675,16.050314465408803,28.52201257861635
10305,2023,2023_10305,15637,86294,113878,5024,1656,10158,627200,31274,8.246466713563983,6.491014900556373,29.53571656967449,14.929334271279656,8.91475346933555,19.85355247170173,12.029161603888214,41714,16.910389797190394,11.068226494702019,32.09713765162775,34.38893417078199,15637,27.594807188079557,28.419773613864553,16.19236426424506,27.793054933810836
10306,2023,2023_10306,19846,97746,125636,5529,1743,14143,675400,40780,6.022560078469838,5.882785679254536,32.09171162334478,16.23589995095635,6.189308484551251,20.52721922511035,13.050514958312895,57249,18.120840538699365,10.665688483641635,33.106255131093995,30.3044594665409,19846,22.266451677919985,27.9653330645974,18.094326312607077,31.67388894487554
10307,2023,2023_10307,5135,138807,160824,734,1618,4285,799100,10140,3.806706114398422,6.0256410256410255,22.87968441814596,16.824457593688365,10.986193293885602,21.50887573964497,17.96844181459566,14821,18.095944942986304,10.67404358680251,35.10559341474934,28.425882194183927,5135,20.662122687439144,26.543330087633887,19.337877312560856,33.45666991236612
10308,2023,2023_10308,10323,122654,138577,1662,1729,8231,648800,21765,2.3845623707787733,3.24833448196646,29.276361130255,16.27842866988284,8.458534344130484,23.344819664599125,17.00895933838732,29996,18.362448326443527,13.21509534604614,34.21789571942925,29.287238298439792,10323,16.652136006974715,28.170105589460427,20.93383706286932,34.24392134069553
10309,2023,2023_10309,12108,123638,154589,2334,1907,9535,745500,24801,2.330551187452119,5.193338978267005,26.81343494213943,17.753316398532316,7.983549050441514,23.124067577920247,16.80174186524737,34918,18.371613494472765,10.41869522882181,33.7762758462684,30.51721175325048,12108,19.441691443673605,28.57614800132144,17.905517013544763,34.07664354146019
10310,2023,2023_10310,8982,106118,122637,3736,1638,5078,623300,17295,4.827984966753397,7.244868459092222,32.18271176640648,17.44434807747904,7.453021104365423,17.126337091644984,13.720728534258456,25824,19.830390334572492,11.930762081784387,32.252942998760844,26.463754646840144,8982,24.070362948118458,24.315297261189045,18.425740369628148,33.18859942106435
10311,2023,2023_10311,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10312,2023,2023_10312,21366,111434,135032,3578,1911,17426,698900,43322,3.619408152901528,4.450394718618716,28.198144130003232,15.765661788467751,7.03106966437376,24.72185033008633,16.213471215548683,63345,19.25803141526561,12.30247059752151,31.871497355750257,29.430894308943092,21366,19.942899934475335,28.133483103997005,16.835158663296827,35.08845829823083
10314,2023,2023_10314,31419,104655,131486,7421,1726,23446,665500,66392,5.5744668032293045,5.0879624051090495,29.461380889263765,15.94469213158212,6.648391372454513,23.64140257862393,13.641703819737316,93539,17.67070419824886,12.88981066720833,31.54940719913619,29.776884508066154,31419,21.076418727521563,28.043540532798627,18.001846016741464,32.878194722938346
10451,2023,2023_10451,21414,37111,59107,18314,1269,2919,263500,33363,12.346012049276144,13.505979678086502,24.96178401222912,19.02706591133891,8.89308515421275,14.456134040703777,6.809939154152804,48975,18.05410923940786,14.362429811128127,36.586013272077594,21.14139867279224,21414,42.859811338376765,24.479312599234145,15.284393387503503,17.376482674885587
10452,2023,2023_10452,28397,37854,54449,26851,1367,951,263000,48761,14.41315805664363,14.13629745083161,29.515391398863844,18.494288468243063,9.134349172494412,10.098234244580713,4.208281208342733,76745,23.796990031923904,13.26731383151997,34.084305166460354,20.641084109713987,28397,32.86966933126739,23.058773814135296,19.738000493009825,24.33355636158749
10453,2023,2023_10453,28462,35482,53758,26281,1393,1404,580100,50649,16.70319256056388,14.357637860569806,30.377697486623624,16.713064423779343,7.305178779442832,10.882742008726726,3.660486880293787,78270,22.07359141433499,13.914654401430944,34.085856650057494,23.158298198543505,28462,32.95270887499122,21.797484365118404,20.325346075469046,24.924460684421334
